











who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,sturcbo?,rturcbo?,stakeholder?,sown-pref,sown-power,sown-eu,scbo-pref,scbo-power,scbo-eu,stemp-eu,regulator?,rown-pref,rown-power,rown-eu,rcbo-pref,rcbo-power,rcbo-eu,rtemp-eu,scboprefrange1,scboprefrange2,scboprefrange3,scboprefrange4,scboprefrange5,scboprefrange6,scboprefrange7,scboprefrange8,scboprefrange9,scboprefrange10,rcboprefrange1,rcboprefrange2,rcboprefrange3,rcboprefrange4,rcboprefrange5,rcboprefrange6,rcboprefrange7,rcboprefrange8,rcboprefrange9,rcboprefrange10,own-pref,own-power,out-links,in-links,ideo,idatt,ave-id,id2,pref,tpreference,power,prox,proximity,turcbo,salience,im,pent,message,minlen,ran,temp-eu,minpref,own-eu,cbo-pref,cbo-power,cbo-eu,prefrange1,prefrange2,prefrange3,prefrange4,prefrange5,prefrange6,prefrange7,prefrange8,prefrange9,prefrange10,cboprefrange1,cboprefrange2,cboprefrange3,cboprefrange4,cboprefrange5,cboprefrange6,cboprefrange7,cboprefrange8,cboprefrange9,cboprefrange10,projoim
4660,0,0,-118.3936674,34.1474115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.70769202024345,0.52894426437,0,0,52.40805380906559,0,0,0,17.70769202024345,0.0,0.52894426437,3.0,0.35415384040486897,0,0.0,0.0,0,0,0,0,0,0,52.894426437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5759,0,0,-117.6838615,34.1268284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.779388170955115,0.53666595711,0,0,54.67511491370347,0,0,0,5.779388170955115,0.0,0.53666595711,9.0,0.11558776341910229,0,0.0,0.0,0,0,0,0,0,0,53.666595711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5120,0,0,-118.4560643,33.9937486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.81991250180392,0.329931280074,0,0,82.172641638354,0,0,0,22.81991250180392,0.0,0.329931280074,3.0,0.45639825003607837,0,0.0,0.0,0,0,0,0,0,0,32.9931280074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5650,0,0,-117.5515743,34.1327144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.664734671728873,0.342173838582,0,0,40.31591276760007,0,0,0,8.664734671728873,0.0,0.342173838582,6.0,0.17329469343457746,0,0.0,0.0,0,0,0,0,0,0,34.2173838582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,0,0,-118.3242789,33.9679201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.777611351584483,0.1215966333962,0,0,60.29677800642136,0,0,0,17.777611351584483,0.0,0.1215966333962,3.0,0.35555222703168965,0,0.0,0.0,0,0,0,0,0,0,12.15966333962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,-118.3481185,33.9130951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.380898420177726,0.070054708226,0,0,69.13585523399881,0,0,0,19.380898420177726,0.0,0.070054708226,3.0,0.3876179684035545,0,0.0,0.0,0,0,0,0,0,0,7.0054708226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4554,0,0,-118.1312373,34.0504032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.027689253911786,0.1605661257984,0,0,62.05491613706579,0,0,0,8.027689253911786,0.0,0.1605661257984,7.0,0.16055378507823573,0,0.0,0.0,0,0,0,0,0,0,16.05661257984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4363,0,0,-118.0915107,34.0992373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.898020167478673,0.065169491385,0,0,63.20402868124988,0,0,0,4.898020167478673,0.0,0.065169491385,11.0,0.09796040334957347,0,0.0,0.0,0,0,0,0,0,0,6.5169491385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2357,0,0,-118.3575986,34.0353554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47861367791294,0.0330135267356,0,0,67.3750372538954,0,0,0,17.47861367791294,0.0,0.0330135267356,3.0,0.3495722735582588,0,0.0,0.0,0,0,0,0,0,0,3.30135267356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,0,0,-118.0604729,33.9050954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.504548400278177,0.0292974646238,0,0,57.849380017198186,0,0,0,6.504548400278177,0.0,0.0292974646238,8.0,0.13009096800556352,0,0.0,0.0,0,0,0,0,0,0,2.92974646238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
