











id,xcor,ycor,own-pref,ideo,idatt,pref,tpreference,power,closest_distance,proximity,salience,im,ran,utility,own-power
2098,-118.0721353,33.974508,41.243452090976035,70.77776270932644,65.3999864383938,41.243452090976035,7.047234733388944,0.0657357996632,5.852430584661748,0.17086917743558283,0.17086917743558283,0.008467720198208961,17,6.5735799663200005,0.0657357996632
4503,-118.3417909,33.9415557,37.56088069152592,68.18139090940643,70.86325181846578,37.56088069152592,1.5995336967913847,0.00804076862822,23.482394129534054,0.042585095645860466,0.042585095645860466,0.03804630132932819,95,0.8040768628220001,0.00804076862822
5142,-118.3023519,33.9921082,28.50478327087667,49.17927419372194,51.46134677434975,28.50478327087667,1.5815080200903293,0.00414667157434,18.023799379309242,0.055482197674035845,0.055482197674035845,0.0288236087796654,72,0.414667157434,0.00414667157434
3614,-117.8778958,34.0548172,32.96431814418094,54.3914707636438,56.15232368727943,32.96431814418094,3.2226947885904718,0.226050540126,10.228805489395642,0.09776312601082456,0.09776312601082456,0.031422570831439636,72,22.6050540126,0.226050540126
5168,-117.9764333,34.0438146,45.26382270579635,58.2383480408328,57.214513236749525,45.26382270579635,15.078797085368615,0.01314072852018,3.001819206766641,0.33313132174843174,0.33313132174843174,0.01991332696407496,48,1.314072852018,0.01314072852018
4769,-118.0798148,34.0059589,47.4282313059102,68.4029850185221,61.86268651666989,47.4282313059102,15.648364442962095,0.0307975903202,3.03087466289432,0.3299377609515052,0.3299377609515052,0.002934954902263913,3,3.07975903202,0.0307975903202
4080,-117.7908186,34.0309432,33.205928701871045,56.8505001986147,51.665450178753225,33.205928701871045,4.8966814692173655,0.429472833112,6.781312795332455,0.14746407224988872,0.14746407224988872,0.009570769988354523,5,42.9472833112,0.429472833112
3301,-118.4205858,34.0076201,26.82483991866279,45.36673973239732,50.13006575915759,26.82483991866279,0.9441308422232817,0.147380851252,28.412205934819855,0.035196140781679874,0.035196140781679874,0.037700928505992486,93,14.738085125200001,0.147380851252
1368,-118.3514435,33.9720998,34.3260553400206,63.6724384308518,64.30519458776662,34.3260553400206,1.4921248234184332,0.01972836794382,23.00481487961589,0.043469160922745796,0.043469160922745796,0.028105973875124222,70,1.9728367943820002,0.01972836794382
143,-118.2060324,34.1024707,31.00794273357742,50.20242675891783,53.08218408302605,31.00794273357742,2.770157009179468,0.1339193671706,11.193568678896687,0.0893370138412879,0.0893370138412879,0.03293551962507706,79,13.391936717059998,0.1339193671706
5174,-117.8980812,34.0224507,35.0346011848693,56.84551977088271,54.06096779379444,35.0346011848693,5.608421140420389,0.248380426524,6.246785023394876,0.16008234575944158,0.16008234575944158,0.016614879325941807,29,24.8380426524,0.248380426524
1817,-118.2310417,34.1778002,37.5217024799044,59.65654423978042,59.29088981580238,37.5217024799044,5.910611865435973,0.272021514416,6.348192595647077,0.1575251514400642,0.1575251514400642,0.02818812892673986,56,27.202151441599998,0.272021514416
2554,-118.241029,34.6526064,46.72952865234827,55.23254152577211,54.809287373194906,46.72952865234827,18.060855314207746,0.268044374064,2.5873375230235105,0.3864976993150164,0.3864976993150164,0.03782799836792622,51,26.8044374064,0.268044374064
3629,-118.2749163,33.9432949,36.40008734360507,64.29753150470201,67.26777835423181,36.40008734360507,2.0137970973985198,0.00315015900648,18.07534998964282,0.05532396332978339,0.05532396332978339,0.037622837611828934,94,0.315015900648,0.00315015900648
940,-118.2804253,34.1031686,32.32907746308548,55.77599149253837,58.29839234328453,32.32907746308548,2.056052571889682,0.402243946938,15.723857407679217,0.06359762582886436,0.06359762582886436,0.03537732492586415,81,40.2243946938,0.402243946938
4974,-118.1621958,33.9567518,27.641232063965568,45.388269158386336,45.1494422425477,27.641232063965568,2.800892094431254,0.01741163242234,9.868724367826232,0.10133021885383434,0.10133021885383434,0.017375565172970352,43,1.741163242234,0.01741163242234
5575,-117.9532858,35.0847244,32.80801029596958,63.352882773559145,62.31759449620323,32.80801029596958,1.0821479730939942,0.036365192851,30.317489947486056,0.03298426095735939,0.03298426095735939,0.021341669071045576,53,3.6365192851,0.036365192851
1426,-118.267265,34.0769001,36.93168726870999,70.55987939322404,67.10389145390164,36.93168726870999,2.4963911533863494,0.0499297106782,14.79403066246739,0.06759483083518343,0.06759483083518343,0.014848718716901512,36,4.99297106782,0.0499297106782
2106,-118.4088266,34.0546533,33.40504560307978,68.98901529222151,63.19011376299936,33.40504560307978,1.2092551157088625,0.34776238907,27.624481525139398,0.03619977443160189,0.03619977443160189,0.0059139204129225196,11,34.776238907,0.34776238907
3802,-118.1751437,33.9586193,34.584937483964545,55.307801140009886,59.4770210260089,34.584937483964545,3.3522674762250904,0.01405250705706,10.316878867586613,0.09692853941920189,0.09692853941920189,0.0389695879445205,97,1.405250705706,0.01405250705706
