











id,xcor,ycor,own-pref,ideo,idatt,pref,tpreference,power,prox,proximity,salience,im,ran,own-eu,own-power
5847,-117.5753256,33.8767479,34.903849299789044,60.19281624088593,62.77353461679734,34.903849299789044,2.45519399604983,0.0207038070954,14.216330504206985,0.07034163982780745,0.07034163982780745,0.0345829947063536,86,2.07038070954,0.0207038070954
3101,-118.2676548,33.9922478,39.15640323640604,76.03563040441693,71.63206736397525,39.15640323640604,2.6159371446284307,0.0067587311833,14.968403700681364,0.06680739108836835,0.06680739108836835,0.01286364949743063,32,0.67587311833,0.0067587311833
4207,-117.8876199,34.0887933,31.90372309530671,51.98865879786712,50.68979291808041,31.90372309530671,4.185019776671371,0.0384696352378,7.623314774555712,0.13117653272533014,0.13117653272533014,0.016179586263377496,39,3.8469635237799995,0.0384696352378
1665,-118.0050872,34.0691726,191.83207275322616,67.48788956249133,66.63910060624221,191.83207275322616,608.155714778919,0.200876583052,0.3154324921915143,3.170250449002101,3.170250449002101,0.4633912710140094,59,20.0876583052,0.200876583052
1534,-118.4495333,34.2593157,34.70345586328499,61.96891067697637,65.27201960927874,34.70345586328499,1.4349504609186143,0.1037369284494,24.18442783109657,0.04134892117291236,0.04134892117291236,0.038535886471853895,95,10.373692844939999,0.1037369284494
3733,-118.5291913,34.4016704,27.731814693374957,57.907432032506044,52.71668882925544,27.731814693374957,0.761776465141529,0.532823215998,36.4041368595218,0.027469405574944757,0.027469405574944757,0.003861211869701872,6,53.2823215998,0.532823215998
4398,-118.3185171,34.1764069,38.23667476346118,66.7541709645464,68.87875386809176,38.23667476346118,2.903920841666998,0.1086704025938,13.167257941339539,0.075945956588306,0.075945956588306,0.03633605288907213,88,10.86704025938,0.1086704025938
5141,-118.3067228,33.9920769,34.64117237456077,66.39029414832616,63.85126473349355,34.64117237456077,1.8813897900140104,0.00790997036094,18.41254404506086,0.0543108001562798,0.0543108001562798,0.01645357425491499,41,0.7909970360940001,0.00790997036094
5194,-118.4094974,34.1534875,32.39776887202102,58.25201090935839,60.22680981842255,32.39776887202102,1.48016591373368,0.370330992482,21.887930651164968,0.04568727925619482,0.04568727925619482,0.03317334472273568,78,37.0330992482,0.370330992482
4995,-118.1243483,34.1429574,35.60075992696046,38.03938754563295,41.635448791069656,35.60075992696046,10.525745978920202,0.492855309942,3.3822552813128604,0.29566071062851257,0.29566071062851257,0.04827561126852132,74,49.2855309942,0.492855309942
