Name,sown-pref,scale,big_ngo
CPUC,28,2.07,0
Cal EPA,36,0.93,0
Cal Water,36,1.07,0
Cal Fish,36,1.3,0
Cal Park,33,0.96,0
Cal Forest,34,1.26,0
BLM,36,1.19,0
Fish & Wildlife,34,0.89,0
EPA,38,1.04,0
SCE,13,1.04,0
NRDC,56,1.11,1
Sierra,66,1.11,1
CBD,75,1,0
Cal Vehicle,47,0.67,0
City,54,0.96,0
Renewable,28,0.93,0
